game,round,scoreA,scoreB,percentA,showScore,superid,behavior,e_behavior,initial_score,cumulativePayoff,e_cumulativePayoff,e_degree,local_avg_wealth,local_rate_coop
15,2,700,300,0.5,false,1506,1,1,700,1150,800,7,718.75,0.857142857142857
15,2,700,300,0.5,false,1507,1,1,700,950,800,5,775,0.8
15,2,700,300,0.5,false,1508,1,0,700,1350,1200,7,781.25,0.714285714285714
15,2,700,300,0.5,false,1510,1,1,300,600,350,5,566.666666666667,1
15,2,700,300,0.5,false,1511,1,1,700,900,650,9,785,0.666666666666667
15,2,700,300,0.5,false,1512,1,0,700,1600,1300,8,733.333333333333,0.875
15,2,700,300,0.5,false,1513,1,1,300,900,500,12,792.307692307692,0.666666666666667
15,2,700,300,0.5,false,1514,1,1,700,850,700,7,662.5,0.714285714285714
15,2,700,300,0.5,false,1515,1,1,700,900,700,8,822.222222222222,0.625
15,2,700,300,0.5,false,1516,0,0,700,1400,900,6,742.857142857143,0.666666666666667
15,2,700,300,0.5,false,1517,0,0,700,2300,1500,8,783.333333333333,0.875
15,2,700,300,0.5,false,1518,1,1,700,1250,850,8,711.111111111111,0.75
16,2,500,500,0.5,true,1600,1,1,500,550,450,4,510,0.75
16,2,500,500,0.5,true,1601,1,1,500,400,450,5,625,0.4
16,2,500,500,0.5,true,1603,0,1,500,800,500,5,550,0.6
16,2,500,500,0.5,true,1606,1,1,500,550,500,5,583.333333333333,0.6
16,2,500,500,0.5,true,1607,1,1,500,500,500,6,600,0.666666666666667
16,2,500,500,0.5,true,1608,0,0,500,1400,1000,8,655.555555555556,0.375
16,2,500,500,0.5,true,1609,1,0,500,450,600,5,675,0.2
16,2,500,500,0.5,true,1610,0,0,500,900,700,5,666.666666666667,0.4
16,2,500,500,0.5,true,1612,0,0,500,800,600,4,690,0.25
16,2,500,500,0.5,true,1613,1,1,500,350,350,4,540,0.5
16,2,500,500,0.5,true,1614,0,0,500,900,700,5,633.333333333333,0.6
16,2,500,500,0.5,true,1615,0,0,500,1300,800,7,612.5,0.571428571428571
16,2,500,500,0.5,true,1616,1,1,500,500,550,5,633.333333333333,0.6
17,2,500,500,0.5,false,1700,0,0,500,1500,1100,5,733.333333333333,0.8
17,2,500,500,0.5,false,1702,1,1,500,800,550,5,616.666666666667,1
17,2,500,500,0.5,false,1703,1,1,500,650,500,3,625,1
17,2,500,500,0.5,false,1704,1,1,500,1000,750,11,679.166666666667,0.818181818181818
17,2,500,500,0.5,false,1705,1,1,500,750,600,3,600,1
17,2,500,500,0.5,false,1706,0,1,500,1050,650,4,690,1
17,2,500,500,0.5,false,1707,1,1,500,950,750,8,650,0.875
17,2,500,500,0.5,false,1708,1,1,500,800,600,4,650,1
17,2,500,500,0.5,false,1709,1,1,500,800,600,4,660,1
17,2,500,500,0.5,false,1710,1,1,500,900,600,6,607.142857142857,1
17,2,500,500,0.5,false,1711,1,1,500,800,600,6,678.571428571429,0.833333333333333
17,2,500,500,0.5,false,1712,1,1,500,900,600,10,681.818181818182,0.8
17,2,500,500,0.5,false,1713,1,1,500,850,650,8,694.444444444444,0.875
17,2,500,500,0.5,false,1714,0,0,500,1100,700,5,758.333333333333,0.8
17,2,500,500,0.5,false,1715,1,1,500,750,650,6,657.142857142857,0.833333333333333
18,2,700,300,0.5,true,1800,0,0,300,1700,1000,11,650,0.636363636363636
18,2,700,300,0.5,true,1801,0,0,300,1200,700,8,733.333333333333,0.5
18,2,700,300,0.5,true,1802,1,1,300,550,450,12,638.461538461538,0.75
18,2,700,300,0.5,true,1804,0,0,300,1100,800,8,633.333333333333,0.625
18,2,700,300,0.5,true,1805,1,1,700,800,750,15,734.375,0.6
18,2,700,300,0.5,true,1807,1,1,300,400,300,10,618.181818181818,0.7
18,2,700,300,0.5,true,1809,1,1,300,700,400,6,450,0.833333333333333
18,2,700,300,0.5,true,1810,1,1,700,900,900,8,655.555555555556,0.875
18,2,700,300,0.5,true,1811,1,1,300,500,450,11,612.5,0.727272727272727
18,2,700,300,0.5,true,1813,0,0,300,1100,700,7,668.75,0.571428571428571
18,2,700,300,0.5,true,1814,0,0,700,2000,1200,11,695.833333333333,0.545454545454545
18,2,700,300,0.5,true,1815,1,1,300,850,550,8,611.111111111111,0.875
18,2,700,300,0.5,true,1816,1,0,300,500,500,8,744.444444444444,0.375
18,2,700,300,0.5,true,1817,1,1,700,800,700,8,733.333333333333,0.625
18,2,700,300,0.5,true,1818,0,1,700,1100,600,7,768.75,0.571428571428571
18,2,700,300,0.5,true,1819,0,0,700,1400,1200,7,762.5,0.714285714285714
18,2,700,300,0.5,true,1820,0,1,700,1300,800,9,730,0.666666666666667
18,2,700,300,0.5,true,1821,1,1,300,500,300,8,688.888888888889,0.5
18,2,700,300,0.5,true,1822,0,1,300,750,250,10,686.363636363636,0.6
18,2,700,300,0.5,true,1823,1,1,700,900,700,10,640.909090909091,0.7
18,2,700,300,0.5,true,1824,1,1,700,1000,750,9,605,0.888888888888889
18,2,700,300,0.5,true,1825,1,0,300,750,700,9,650,0.555555555555556
19,2,700,300,0.5,true,1900,0,0,300,1300,800,6,842.857142857143,0.833333333333333
